월,부서,교육과정명,전사인원,이수자,미이수자,수강진도율,완료율
1월,임원급,윤리경영기초,45,43,2,95.6%,95.6%
1월,관리직,윤리경영기초,120,115,5,95.8%,95.8%
1월,일반직,윤리경영기초,280,268,12,95.7%,95.7%
2월,임원급,준법감시,45,44,1,97.8%,97.8%
2월,관리직,준법감시,120,118,2,98.3%,98.3%
2월,일반직,준법감시,280,275,5,98.2%,98.2%
3월,임원급,정보보안,45,42,3,93.3%,93.3%
3월,관리직,정보보안,120,116,4,96.7%,96.7%
3월,일반직,정보보안,280,270,10,96.4%,96.4%
4월,임원급,공급망관리,45,44,1,97.8%,97.8%
4월,관리직,공급망관리,120,119,1,99.2%,99.2%
4월,일반직,공급망관리,280,276,4,98.6%,98.6%
5월,임원급,부패방지,45,45,0,100.0%,100.0%
5월,관리직,부패방지,120,119,1,99.2%,99.2%
5월,일반직,부패방지,280,277,3,98.9%,98.9%
6월,임원급,보안교육,45,43,2,95.6%,95.6%
6월,관리직,보안교육,120,117,3,97.5%,97.5%
6월,일반직,보안교육,280,273,7,97.5%,97.5%
